sc_id,stock_name,net_profit_actual,net_profit_estimated,nse_id,exchdisstime,board_announcement_time,start_timestamp,start_open,start_high,start_low,start_close,start_volume,end_timestamp,end_open,end_high,end_low,end_close,end_volume
TCI,Thomas Cook,67,48,THOMASCOOK,12-May-2025 20:25:41,2025-05-12 20:25:41,2025-05-12T15:29:00+05:30,143.21,143.75,143.0,143.47,7247.0,2025-05-13T09:30:00+05:30,150.21,150.21,149.51,149.9,13084.0
ARTEM54291,AMSL,23,23,ARTEMISMED,12-May-2025 17:32:17,2025-05-12 17:32:17,2025-05-12T15:29:00+05:30,254.95,255.0,252.05,255.0,801.0,2025-05-13T09:30:00+05:30,249.5,249.8,249.5,249.8,292.0
KKC02,Kewal Kiran,29,37,KKCL,12-May-2025 19:15:51,2025-05-12 19:15:51,2025-05-12T15:29:00+05:30,471.95,471.95,468.4,468.5,330.0,2025-05-13T09:30:00+05:30,457.7,457.95,455.0,456.3,901.0
AI72,AFFLE 3I,103,99,AFFLE,10-May-2025 14:55:23,2025-05-10 14:55:23,2025-05-09T14:55:00+05:30,1503.5,1503.5,1502.0,1502.4,24.0,,,,,,
TT12,Triveni Turbine,94,101,TRITURBINE,10-May-2025 19:44:34,2025-05-10 19:44:34,,,,,,,2025-05-09T09:30:00+05:30,507.45,509.0,507.15,509.0,6654.0
MC03,Mangalam Cement,17,26,MANGLMCEM,10-May-2025 23:19:34,2025-05-10 23:19:34,,,,,,,2025-05-09T09:30:00+05:30,722.75,724.7,722.3,724.7,77.0
ALF02,Apollo Pipes,9,7,APOLLOPIPE,10-May-2025 15:59:28,2025-05-10 15:59:28,,,,,,,2025-05-09T09:30:00+05:30,376.2,376.2,375.8,375.8,16.0
ABB,ABB India,474,488,ABB,09-May-2025 18:08:21,2025-05-09 18:08:21,2025-05-09T15:29:00+05:30,5459.5,5468.0,5453.0,5460.0,2549.0,2025-05-09T09:30:00+05:30,5265.5,5279.5,5255.5,5277.5,1417.0
DRL,Dr Reddys Labs,"1,655","1,455",DRREDDY,09-May-2025 16:42:22,2025-05-09 16:42:22,2025-05-09T15:29:00+05:30,1155.0,1165.0,1153.0,1158.09,6103.0,2025-05-09T09:30:00+05:30,1145.9,1146.4,1144.8,1146.0,2938.0
SL23,Swiggy,"-1,081",-827,SWIGGY,09-May-2025 15:49:52,2025-05-09 15:49:52,2025-05-09T15:29:00+05:30,314.2,314.39,312.1,314.39,12979.0,2025-05-09T09:30:00+05:30,306.75,307.2,306.14,306.85,42715.0
T,Thermax,206,223,THERMAX,09-May-2025 18:38:00,2025-05-09 18:38:00,2025-05-09T15:29:00+05:30,3240.9,3241.0,3211.6,3240.0,234.0,2025-05-09T09:30:00+05:30,3126.3,3130.9,3126.2,3130.9,36.0
M09,KPR Mill,205,246,KPRMILL,09-May-2025 16:29:24,2025-05-09 16:29:24,2025-05-09T15:29:00+05:30,1294.95,1297.0,1281.5,1286.0,24584.0,2025-05-09T09:30:00+05:30,1250.7,1252.0,1246.0,1246.4,46854.0
PRC,Navin Fluorine,95,99,NAVINFLUOR,09-May-2025 17:06:31,2025-05-09 17:06:31,2025-05-09T15:29:00+05:30,4586.7,4600.0,4570.0,4581.0,518.0,2025-05-09T09:30:00+05:30,4539.8,4564.7,4529.8,4559.0,1230.0
GN,Grindwell Norto,93,93,GRINDWELL,09-May-2025 22:24:40,2025-05-09 22:24:40,2025-05-09T15:29:00+05:30,1616.0,1616.6,1610.0,1611.0,497.0,2025-05-09T09:30:00+05:30,1690.8,1692.2,1684.6,1691.6,537.0
MGF01,Manappuram Fin,-191,240,MANAPPURAM,09-May-2025 17:18:41,2025-05-09 17:18:41,2025-05-09T15:29:00+05:30,228.76,228.8,228.75,228.8,13266.0,2025-05-09T09:30:00+05:30,226.49,226.6,226.02,226.09,86646.0
IDA,Intellect Desig,135,101,INTELLECT,09-May-2025 12:39:16,2025-05-09 12:39:16,2025-05-09T12:39:00+05:30,842.2,866.4,842.2,863.95,79861.0,2025-05-09T13:19:00+05:30,847.45,848.5,846.5,848.5,4145.0
GES,GE Shipping,363,378,GESHIP,09-May-2025 18:18:07,2025-05-09 18:18:07,2025-05-09T15:29:00+05:30,875.85,878.05,875.0,875.0,1338.0,2025-05-09T09:30:00+05:30,860.05,867.8,860.05,866.95,3654.0
BC07,Birla Corp,287,134,BIRLACORPN,09-May-2025 17:42:17,2025-05-09 17:42:17,2025-05-09T15:29:00+05:30,1065.09,1068.09,1063.0,1063.0,305.0,2025-05-09T09:30:00+05:30,1050.7,1053.0,1050.4,1050.4,215.0
RF07,Relaxo Footwear,56,54,RELAXO,09-May-2025 17:21:02,2025-05-09 17:21:02,2025-05-09T15:29:00+05:30,402.9,408.6,402.9,405.5,2369.0,2025-05-09T09:30:00+05:30,397.0,399.05,396.65,398.5,5403.0
ISFCL,India Shelter,108,99,INDIASHLTR,09-May-2025 21:07:15,2025-05-09 21:07:15,2025-05-09T15:29:00+05:30,862.2,875.0,849.1,862.6,1797.0,2025-05-09T09:30:00+05:30,843.4,843.5,842.15,843.5,207.0
JLLHL,Jupiter Life,45,53,JLHL,09-May-2025 17:59:49,2025-05-09 17:59:49,2025-05-09T15:29:00+05:30,1420.1,1423.2,1420.1,1423.0,29.0,2025-05-09T09:30:00+05:30,1426.7,1426.7,1426.3,1426.3,44.0
AAC,Alkyl Amines,46,54,ALKYLAMINE,09-May-2025 14:38:07,2025-05-09 14:38:07,2025-05-09T14:38:00+05:30,1638.3,1640.9,1624.3,1637.4,10133.0,2025-05-09T15:18:00+05:30,1630.4,1631.1,1625.8,1630.9,3866.0
MOF,Cera Sanitary,87,63,CERA,09-May-2025 13:02:09,2025-05-09 13:02:09,2025-05-09T13:02:00+05:30,5434.5,5461.5,5427.0,5436.0,1981.0,2025-05-09T13:42:00+05:30,5540.5,5545.5,5539.5,5542.5,210.0
AV02,Aditya Vision,16,17,AVL,09-May-2025 15:31:28,2025-05-09 15:31:28,2025-05-09T15:29:00+05:30,418.0,425.0,418.0,425.0,3329.0,2025-05-09T09:30:00+05:30,400.75,401.4,400.0,400.6,6347.0
LT,Larsen,"5,134","5,048",LT,08-May-2025 17:16:51,2025-05-08 17:16:51,2025-05-08T15:29:00+05:30,3311.1,3327.0,3299.8,3312.0,21233.0,2025-05-09T09:30:00+05:30,3450.0,3452.9,3438.0,3451.3,73906.0
TI01,Titan Company,871,850,TITAN,08-May-2025 22:47:03,2025-05-08 22:47:03,2025-05-08T15:29:00+05:30,3360.6,3363.8,3345.0,3345.0,8229.0,2025-05-09T09:30:00+05:30,3517.0,3530.0,3516.2,3526.6,53762.0
API,Asian Paints,818,"1,089",ASIANPAINT,08-May-2025 14:56:54,2025-05-08 14:56:54,2025-05-08T14:56:00+05:30,2298.3,2307.9,2295.5,2305.3,32257.0,2025-05-08T15:29:00+05:30,2300.0,2301.0,2295.0,2300.0,45649.0
PI11,Pidilite Ind,441,436,PIDILITIND,08-May-2025 18:39:42,2025-05-08 18:39:42,2025-05-08T15:29:00+05:30,2944.9,2952.8,2940.5,2951.2,1318.0,2025-05-09T09:30:00+05:30,2986.5,2995.0,2983.7,2995.0,3108.0
BI,Britannia,560,513,BRITANNIA,08-May-2025 21:20:24,2025-05-08 21:20:24,2025-05-08T15:29:00+05:30,5381.5,5388.5,5365.5,5382.5,678.0,2025-05-09T09:30:00+05:30,5457.5,5457.5,5431.5,5451.5,1791.0
BFC,Bharat Forge,286,286,BHARATFORG,08-May-2025 14:08:15,2025-05-08 14:08:15,2025-05-08T14:08:00+05:30,1124.5,1124.7,1115.5,1120.0,34474.0,2025-05-08T14:48:00+05:30,1101.59,1102.4,1100.0,1101.0,7026.0
JS07,Jindal Stainles,597,542,JSL,08-May-2025 17:11:19,2025-05-08 17:11:19,2025-05-08T15:29:00+05:30,582.95,585.45,580.0,582.7,6030.0,2025-05-09T09:30:00+05:30,593.7,595.15,593.5,594.75,6224.0
BL03,Biocon,325,159,BIOCON,08-May-2025 19:44:53,2025-05-08 19:44:53,2025-05-08T15:29:00+05:30,332.9,333.95,332.35,333.5,8801.0,2025-05-09T09:30:00+05:30,336.5,338.1,336.45,337.35,45338.0
MCE,MCX India,135,157,MCX,,,,,,,,,,,,,,
CFC,Chambal Fert,130,237,CHAMBLFERT,08-May-2025 16:49:44,2025-05-08 16:49:44,2025-05-08T15:29:00+05:30,686.0,686.95,684.0,684.0,9113.0,2025-05-09T09:30:00+05:30,677.55,677.7,673.15,673.25,32624.0
II15,IIFL Finance,208,223,IIFL,08-May-2025 17:48:20,2025-05-08 17:48:20,2025-05-08T15:29:00+05:30,357.55,361.0,356.5,357.85,10158.0,2025-05-09T09:30:00+05:30,364.55,366.3,363.65,366.2,14382.0
AI,Aarti Ind,96,62,AARTIIND,08-May-2025 17:58:12,2025-05-08 17:58:12,2025-05-08T15:29:00+05:30,442.85,444.0,441.3,443.0,12487.0,2025-05-09T09:30:00+05:30,458.1,459.25,457.1,458.2,67893.0
FOI,Fine Organics,97,92,FINEORG,08-May-2025 19:09:39,2025-05-08 19:09:39,2025-05-08T15:29:00+05:30,4058.0,4087.0,4058.0,4058.0,89.0,2025-05-09T09:30:00+05:30,3956.8,3967.1,3950.0,3967.1,244.0
ZT,Zee Entertain,189,151,ZEEL,01-May-2025 18:58:20,2025-05-01 18:58:20,,,,,,,2025-05-02T09:30:00+05:30,105.96,106.16,105.85,106.15,31881.0
EP,EPL,118,89,EPL,08-May-2025 17:32:28,2025-05-08 17:32:28,2025-05-08T15:29:00+05:30,198.36,198.4,198.1,198.11,8796.0,2025-05-09T09:30:00+05:30,194.49,195.91,194.0,195.74,9595.0
GHC,Guj Heavy Chem,150,137,GHCL,08-May-2025 13:56:38,2025-05-08 13:56:38,2025-05-08T13:56:00+05:30,572.95,575.0,569.6,570.1,14487.0,2025-05-08T14:36:00+05:30,578.95,579.15,578.04,578.04,300.0
CIL07,Ceigall India,70,89,CEIGALL,08-May-2025 19:35:59,2025-05-08 19:35:59,2025-05-08T15:29:00+05:30,264.1,264.1,263.64,263.95,220.0,2025-05-09T09:30:00+05:30,245.9,247.6,245.0,247.5,987.0
RSI01,R Systems Intl,39,38,RSYSTEMS,08-May-2025 20:01:13,2025-05-08 20:01:13,2025-05-08T15:29:00+05:30,330.0,331.0,330.0,330.0,4517.0,2025-05-09T09:30:00+05:30,322.85,323.0,322.05,322.8,182.0
MU,Mayur Uniquoter,30,36,MAYURUNIQ,08-May-2025 15:55:37,2025-05-08 15:55:37,2025-05-08T15:29:00+05:30,463.0,469.65,463.0,463.0,525.0,2025-05-09T09:30:00+05:30,517.35,524.0,517.0,523.0,19019.0
MML07,Muthoot Micro,-401,-177,MUTHOOTMF,08-May-2025 18:28:36,2025-05-08 18:28:36,2025-05-08T15:29:00+05:30,143.9,145.4,142.69,145.0,3037.0,2025-05-09T09:30:00+05:30,130.5,130.5,129.19,129.6,33355.0
CI29,Coal India,"9,604","8,287",COALINDIA,07-May-2025 16:45:33,2025-05-07 16:45:33,2025-05-07T15:29:00+05:30,382.55,384.4,382.3,384.2,40414.0,2025-05-08T09:30:00+05:30,391.05,391.2,390.3,391.0,62957.0
DI,Dabur India,320,313,DABUR,07-May-2025 15:54:29,2025-05-07 15:54:29,2025-05-07T15:29:00+05:30,480.0,480.45,479.8,480.0,42421.0,2025-05-08T09:30:00+05:30,474.5,476.15,474.5,475.4,63509.0
MRF,MRF,512,341,MRF,07-May-2025 12:49:56,2025-05-07 12:49:56,2025-05-07T12:49:00+05:30,134505.0,134505.0,134505.0,134505.0,1.0,2025-05-07T13:29:00+05:30,140705.0,140785.0,140670.0,140760.0,35.0
UBB,United Brewerie,98,92,UBL,07-May-2025 19:40:52,2025-05-07 19:40:52,2025-05-07T15:29:00+05:30,2191.6,2196.0,2191.6,2196.0,308.0,2025-05-08T09:30:00+05:30,2193.69,2197.4,2181.8,2183.69,6620.0
BT09,APL Apollo,293,248,APLAPOLLO,07-May-2025 15:10:32,2025-05-07 15:10:32,2025-05-07T15:10:00+05:30,1664.5,1677.0,1661.9,1673.8,31339.0,2025-05-07T15:29:00+05:30,1652.0,1654.6,1650.1,1653.9,6757.0
V,Voltas,241,259,VOLTAS,07-May-2025 18:13:48,2025-05-07 18:13:48,2025-05-07T15:29:00+05:30,1251.9,1252.3,1244.0,1249.9,23418.0,2025-05-08T09:30:00+05:30,1255.5,1262.7,1254.9,1260.8,66101.0
